ts,open,high,low,close
1785132000000,65438.6,65732.8,65383.6,65387.2,1
1785135600000,65387.2,65424.7,65191.2,65195.8,1
1785139200000,65195.8,65239.1,65102.9,65145.5,1
1785142800000,65145.5,65322.3,65076.3,65239.8,1
1785146400000,65239.8,65414.7,65210.2,65314.8,1
1785150000000,65314.8,65315.5,65063.7,65081.8,1
1785153600000,65081.8,65231.5,64808.5,65063.1,1
1785157200000,65063.2,65683.1,64881.5,65185.5,1
1785160800000,65185.5,65397.5,64418.1,64660.1,1
1785164400000,64660.1,64745.9,64384.3,64519.4,1
1785168000000,64519.4,64945.3,64481.5,64874.1,1
1785171600000,64874.1,65064.5,64762.3,64992.7,1
1785175200000,64992.7,65031.6,64720.6,64850.6,1
1785178800000,64850.6,65056.4,64778,64958.1,1
1785182400000,64957.5,65029.8,64878.7,64942.2,1
1785186000000,64942.2,64942.3,64770.3,64795.8,1
1785189600000,64795.8,64795.9,63754.2,63754.8,1
1785193200000,63755,63909.2,63568.5,63726.9,1
1785196800000,63726.9,63798.7,63442.3,63451.3,1
1785200400000,63450.8,63499.5,63012.8,63190.4,1
1785204000000,63190.3,63270.5,63068.7,63145.3,1
1785207600000,63145.3,63343.4,63131.5,63310,1
1785211200000,63310.1,63329.8,63183.7,63323,1
1785214800000,63323,63597.7,63291.7,63421.8,1
1785218400000,63420.6,63631.8,63362.6,63603.5,1
1785222000000,63603.6,63622.7,63414.3,63468.6,1
1785225600000,63468.6,63508.4,63372.4,63394.8,1
1785229200000,63394.8,63547.5,63329.2,63362.7,1
1785232800000,63362.7,63521.4,63259.4,63435.5,1
1785236400000,63435.5,63563.2,63316.4,63423.5,1
1785240000000,63423.5,63543.1,63343.5,63515.8,1
1785243600000,63515.7,63560.5,62710,63080.1,1
1785247200000,63080,63522.2,62933.3,63383.7,1
1785250800000,63383.8,63990.7,63237.2,63894.5,1
1785254400000,63894.5,64074.5,63741,64012.7,1
1785258000000,64012.7,64012.8,63467.4,63658.3,1
1785261600000,63658.5,63819.2,63643.1,63707.3,1
1785265200000,63707.3,63874.2,63648.7,63868.7,1
1785268800000,63869.4,63992.9,63849.7,63890.2,1
1785272400000,63890.2,64046.8,63864.7,63947.1,1
1785276000000,63947.1,63996.1,63734,63750,1
1785279600000,63750.1,63923.8,63522.7,63898.7,1
1785283200000,63898.7,64166.6,63837.3,63926.6,1
1785286800000,63926.4,63969,63655.2,63674.9,1
1785290400000,63675.2,64103.1,63617.4,63948.6,1
1785294000000,63949.7,63975.2,63674.9,63719,1
1785297600000,63719.4,63945.4,63565.7,63939,1
1785301200000,63938.9,64066.7,63852.9,64034.5,1
1785304800000,64034.6,64434.8,63989.4,64400.2,1
1785308400000,64400.2,64540.6,64372,64525.9,1
1785312000000,64525.9,64553.5,64249.3,64389.6,1
1785315600000,64389.6,64712.5,64350.3,64667.5,1
1785319200000,64667.6,64689.2,64380.9,64442.9,1
1785322800000,64442.9,64573.7,64393,64487.1,1
1785326400000,64487.1,64487.6,64195.6,64254.3,1
1785330000000,64254.3,64643,64116.1,64637.4,1
1785333600000,64637.9,64695.8,64019.7,64083.4,1
1785337200000,64083.4,64175.2,63859.1,63944.1,1
1785340800000,63944.1,64129.5,63597.1,63789.7,1
1785344400000,63789.2,64268.7,63687.7,64246.8,1
1785348000000,64247.1,64668.2,63735.1,64480.5,1
1785351600000,64480.6,64577.2,63477,63553.1,1
1785355200000,63554,63711.1,63341,63482.3,1
1785358800000,63482.2,63823.6,63237.6,63823.6,1
1785362400000,63824.1,64099.6,63824.1,63906.6,1
1785366000000,63906.6,64041.5,63862.9,63955,1
1785369600000,63955,64092.4,63579.5,63667.8,1
1785373200000,63671.4,64356.2,63663.3,64242.6,1
1785376800000,64242.5,64392.6,64132.3,64159.7,1
1785380400000,64159.3,64275.1,64101.8,64138.3,1
1785384000000,64137.9,64159.2,63980.6,64000,1
1785387600000,63999.9,64163.6,63884.2,64015.7,1
1785391200000,64015.7,64061.9,63923.2,63974.2,1
1785394800000,63974.1,64125.3,63910.3,63982.9,1
1785398400000,63982.8,64328.8,63950,64274.5,1
1785402000000,64274.7,64617.4,64254.4,64543.9,1
1785405600000,64543.8,64610.4,64532.3,64543.9,1
1785409200000,64544,64861,64506.4,64757.3,1
1785412800000,64757.7,64998.5,64754.5,64887.6,1
1785416400000,64887.5,65153.6,64655.5,64993.8,1
1785420000000,64994.2,65017.6,64590,64650.7,1
1785423600000,64650.7,64862.5,64572.8,64705.9,1
1785427200000,64705.9,64939.3,64700.6,64793.7,1
1785430800000,64793.3,64964.1,64742.3,64842.8,1
1785434400000,64842.8,64869.7,64661.6,64675.1,1
1785438000000,64675,64878,64674.6,64769.5,1
1785441600000,64772.9,64912.2,64727.2,64745.6,1
1785445200000,64745.6,64778,64674.3,64706.5,1
1785448800000,64706.3,64996.7,64634.6,64828.8,1
1785452400000,64828,65061.8,64710.7,64757.2,1
1785456000000,64757.2,64880.3,64666.4,64703.4,1
1785459600000,64703.4,65387.6,64461.6,64533.8,1
1785463200000,64533.9,64586.2,64167.1,64276,1
1785466800000,64276,64415.9,64146.7,64341.2,1
1785470400000,64341.2,64413.4,64201.4,64279.5,1
1785474000000,64279.5,64394,64240.3,64320.8,1
1785477600000,64320.8,64466.2,64158.6,64201.9,1
1785481200000,64201.9,64215.5,63829.5,63905,1
1785484800000,63905,63946.6,63779.6,63797.2,1
1785488400000,63797.7,63816.4,63605.4,63688.8,1
1785492000000,63688.8,63928.2,63576.4,63890.1,1
1785495600000,63890.1,63985.7,63762.7,63778.3,1
1785499200000,63778.3,63807.8,63599.6,63732.6,1
1785502800000,63732.6,63809.7,63204.9,63240.1,1
1785506400000,63240.2,63284.3,62416.3,62664.3,1
1785510000000,62664.3,62746.9,62463.3,62691.7,1
1785513600000,62691.7,62910.7,62680,62845.4,1
1785517200000,62845.4,63263.7,62774.3,63212.3,1
1785520800000,63212,63271.4,62934,63067.4,1
1785524400000,63067.3,63133.9,62905.6,62937.8,1
1785528000000,62945.4,63009.1,62898.3,62933.1,1
1785531600000,62933.1,63032.5,62816.8,62922.3,1
1785535200000,62922.6,62995.2,62834.7,62916.9,1
1785538800000,62916.9,62985.6,62829,62858.7,1
1785542400000,62858.4,63002.8,62858.4,62910.5,1
1785546000000,62910.5,62969.2,62896.2,62947,1
1785549600000,62947,63075.6,62946.6,63043.3,1
1785553200000,63043.3,63047.3,62938.6,62975.9,1
1785556800000,62975.9,63073.5,62967.2,63071.9,1
1785560400000,63071.9,63113.6,62963.4,63000.1,1
1785564000000,63000.1,63049.9,62962.6,63045.8,1
1785567600000,63045.8,63081.6,62999.5,63021.5,1
1785571200000,63021.4,63126.1,63021.4,63096.7,1
1785574800000,63096.3,63118.8,63011.2,63020.1,1
1785578400000,63020.1,63086.6,62954.6,63029.7,1
1785582000000,63029.7,63061.7,63007.3,63042.8,1
1785585600000,63042.8,63090.4,63042.8,63063.4,1
1785589200000,63063.2,63068.7,63010.5,63030.7,1
1785592800000,63030.7,63099.7,63030.7,63099.7,1
1785596400000,63099.7,63100.3,62971.4,62973.9,1
1785600000000,62974,63011.9,62845.7,62906.8,1
1785603600000,62906.7,62972.8,62634.6,62687.9,1
1785607200000,62687.9,62714.8,62239.4,62548,1
1785610800000,62548,62595.8,62423.8,62496.6,1
1785614400000,62496.6,62640.7,62448.9,62630.2,1
1785618000000,62630.1,62831.9,62629.5,62785.6,1
1785621600000,62785.6,62839.4,62758.7,62800.3,1
1785625200000,62800.3,62827.6,62736,62788.9,1
1785628800000,62788.9,62945.3,62784.1,62807.6,1
1785632400000,62807.7,63068.7,62807.7,62959.5,1
1785636000000,62959.5,63527.7,62925.3,63419.3,1
1785639600000,63419.3,63525.5,63353.3,63434.9,1
